"","X","Tree","NumberOfVariantsInModel","RateOfChange","Repetition","Sample","NumberOfVariantsObserved","loglik_drift","loglik_selectiononestate","loglik_pathways","loglik_pathwaystoone","loglik_unconstrained","phylosigLambda","phylosigK","BayestraitsIndependent_CladeA","BayestraitsDependent_CladeA","BayestraitsIndependent_Ecology","BayestraitsDependent_Ecology","loglik_pathwaysfromone","BayestraitsMultistate_Free","BayestraitsMultistate_Equal","Pathway_impossible","simulation_variant","ml_model_supported","chisq_p_selectionwronglysupported_df","chisq_p_selectionwronglysupported","chisq_p_selectiontoonestatewronglysupported","selectionwronglysupportedsignificant","selectiontoonewronglysupportedsignificant","chisq_p_selectiontoonestatewronglysupported_df","BT_dependent_CladeA_better","BT_dependent_Forest_better","samplesize","horizontaltransmission","diversityrepresented","BT_MultistateFree_better","chisq_BT_MultitstateFree_better","chisq_BT_CladeAdependent_better","chisq_BT_Forestdependent_better","BT_MultitstateFree_wronglysupported","BT_CladeAdependent_wronglysupported","BT_Forestdependent_wronglysupported","X.1","BT_Multistate_nonconvergence"
"4340",4370,"Onetree",4,1,10,"cladeA",2,-3.21996758630094,-3.22084999840197,-3.25673189289384,-3.74919080024374,-3.22084999840197,1.00012165303623,18.3279835642348,NA,NA,NA,NA,-3.22084999840239,NA,NA,FALSE,"drift_four_slow","loglik_drift",1,1,1,0,0,1,NA,NA,113,"No",0.5,NA,NA,NA,NA,NA,NA,NA,4340,NA
"4341",4371,"Onetree",4,1,10,"cladeB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drift_four_slow","NA",NA,NA,NA,NA,NA,NA,NA,NA,21,"No",0.25,NA,NA,NA,NA,NA,NA,NA,4341,NA
"4342",4372,"Onetree",4,1,10,"cladeC",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drift_four_slow","NA",NA,NA,NA,NA,NA,NA,NA,NA,78,"No",0.25,NA,NA,NA,NA,NA,NA,NA,4342,NA
"4343",4373,"Onetree",4,1,10,"cladeD",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drift_four_slow","NA",NA,NA,NA,NA,NA,NA,NA,NA,81,"No",0.25,NA,NA,NA,NA,NA,NA,NA,4343,NA
"4344",4374,"Onetree",4,1,10,"cladeE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drift_four_slow","NA",NA,NA,NA,NA,NA,NA,NA,NA,48,"No",0.25,NA,NA,NA,NA,NA,NA,NA,4344,NA
"4345",4375,"Onetree",4,1,10,"cladeF",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drift_four_slow","NA",NA,NA,NA,NA,NA,NA,NA,NA,34,"No",0.25,NA,NA,NA,NA,NA,NA,NA,4345,NA
"4346",4376,"Onetree",4,1,10,"ThreeQuarterSample",3,-7.25062735681011,-6.64316506795106,-7.1361301907423,-10.8490002673164,-5.73561345148813,1.00012165303623,18.3279835642348,NA,NA,NA,NA,-7.32367813336545,NA,NA,FALSE,"drift_four_slow","loglik_unconstrained",0.38701860953124,0.38701860953124,0.54473148769309,0,0,0.54473148769309,NA,NA,200,"No",0.75,NA,NA,NA,NA,NA,NA,NA,4346,NA
"4347",4377,"Onetree",4,1,10,"HalfSample",3,-7.287149139356,-6.68073256637459,-7.16508017757842,-10.8459496753569,-5.77067974149386,1.00012165303623,18.3279835642348,NA,NA,NA,NA,-7.35797229047555,NA,NA,FALSE,"drift_four_slow","loglik_unconstrained",0.386574490473984,0.386574490473984,0.545301420000517,0,0,0.545301420000517,NA,NA,103,"No",0.75,NA,NA,NA,NA,NA,NA,NA,4347,NA
"4348",4378,"Onetree",4,1,10,"Rarelost",3,-7.36647408366209,-6.7653052809837,-7.24184669566893,-10.8499012423063,-5.84968810777367,1.00012165303623,18.3279835642348,NA,NA,NA,NA,-7.4316016245659,NA,NA,FALSE,"drift_four_slow","loglik_unconstrained",0.386477949365436,0.386477949365436,0.548170558303529,0,0,0.548170558303529,NA,NA,290,"No",0.75,NA,NA,NA,NA,NA,NA,NA,4348,NA
"4349",4379,"Onetree",4,1,10,"Frequentlost",3,-7.31307534194342,-6.71140200950283,-7.19738415731308,-10.8543338541435,-5.79855518403129,1.00012165303623,18.3279835642348,NA,NA,NA,NA,-7.38119558435156,NA,NA,FALSE,"drift_four_slow","loglik_unconstrained",0.38716936665727,0.38716936665727,0.547894059698856,0,0,0.547894059698856,NA,NA,200,"No",0.75,NA,NA,NA,NA,NA,NA,NA,4349,NA
"4350",4380,"Onetree",4,1,10,"Ecologyloss",3,-7.14606906106217,-6.50292242020744,-7.01950414034533,-10.8158414912941,-5.59698327047595,1.00012165303623,18.3279835642348,NA,NA,NA,NA,-7.23147340691117,NA,NA,FALSE,"drift_four_slow","loglik_unconstrained",0.376735323064615,0.376735323064615,0.525635831876335,0,0,0.525635831876335,NA,NA,306,"No",0.75,NA,NA,NA,NA,NA,NA,NA,4350,NA
"4351",4381,"Onetree",4,1,10,"horizontal10",3,-196.409916285688,-138.230909752337,-163.237373365588,-446.097673177081,-107.758553712372,1.00012165303623,18.3279835642348,NA,NA,NA,NA,-229.176976779735,-152.743117,-152.743117,FALSE,"drift_four_slow","loglik_unconstrained",0,0,0,1,1,0,NA,0,306,"Yes",0.75,0,1,NA,1,0,NA,0,4351,FALSE
"4352",4382,"Onetree",4,1,10,"horizontalClade10",2,-2.62513774305042,-2.20281419917586,-2.80124954107523,-2.3257349525814,-2.20281419917586,1.00012165303623,18.3279835642348,-4.918848,-3.331259,-74.355991,-73.253432,-2.6513563825019,NA,NA,TRUE,"drift_four_slow","loglik_selectiononestate",0.358071074721726,0.358071074721726,0.358071074721726,0,0,0.358071074721726,3.175178,NA,306,"Yes",0.5,NA,NA,0.528949430683262,NA,NA,0,NA,4352,NA
"4353",4383,"Onetree",4,1,10,"horizontalEcology10",2,-2.62513774305042,-2.20281419917586,-2.80124954107523,-2.3257349525814,-2.20281419917586,1.00012165303623,18.3279835642348,-4.918848,-3.331259,-74.355991,-73.253432,-2.6513563825019,NA,NA,TRUE,"drift_four_slow","loglik_selectiononestate",0.358071074721726,0.358071074721726,0.358071074721726,0,0,0.358071074721726,3.175178,NA,306,"Yes",0.5,NA,NA,0.528949430683262,NA,NA,0,NA,4353,NA
"4354",4384,"Onetree",4,1,10,"horizontalNeighbor10",3,-35.9110887779712,-25.9670772655987,-41.0554495768131,-54.045216674797,-22.652480000484,1.00012165303623,18.3279835642348,NA,NA,NA,NA,-43.4805899835684,-24.546698,-24.546698,FALSE,"drift_four_slow","loglik_unconstrained",7.43193033048151e-06,7.43193033048151e-06,4.80143077968842e-05,1,1,4.80143077968842e-05,NA,0,306,"Yes",0.75,0,1,NA,1,0,NA,0,4354,FALSE
"4355",4385,"Onetree",4,2,1,"full",4,-16.6394102987283,-16.1073953440101,-19.1572979885511,-16.7991401806538,-14.8609985825465,1.00012165303623,12.2937282043357,NA,NA,NA,NA,-17.7263095466069,-14.860999,-16.63941,NA,"drift_four_medium","loglik_unconstrained",0.736394880981528,0.736394880981528,0.785763721930025,0,0,0.785763721930025,NA,3.556822,306,"No",1,3.556822,0.965133699755159,NA,0.469291194951549,0,NA,0,4355,FALSE
"4356",4386,"Onetree",4,2,1,"cladeA",2,-2.36194347311088,-2.27196939999546,-2.92963876914659,-2.54322633032233,-2.27196939999546,1.00012165303623,12.2937282043357,NA,NA,NA,NA,-2.37334535596127,NA,NA,FALSE,"drift_four_medium","loglik_selectiononestate",0.671417806632707,0.671417806632707,0.671417806632707,0,0,0.671417806632707,NA,NA,113,"No",0.5,NA,NA,NA,NA,NA,NA,NA,4356,NA
"4357",4387,"Onetree",4,2,1,"cladeB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drift_four_medium","NA",NA,NA,NA,NA,NA,NA,NA,NA,21,"No",0.25,NA,NA,NA,NA,NA,NA,NA,4357,NA
