"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait"
"80","Grafentree","8","half","0.722","0.574","0.352069958341046"
"81","Grafentree","8","positiveloss","0.604","0.63","0.352069958341046"
"82","Grafentree","8","ecologyloss","0.544","0.816","0.352069958341046"
"83","Grafentree","8","horizontal10","0.67","0.576","0.352069958341046"
"84","Grafentree","8","horizontal10clade","0.646","0.546","0.352069958341046"
"85","Grafentree","8","horizontal10ecology","0.542","0.758","0.352069958341046"
"86","Grafentree","8","horizontalnodes","0.636","0.586","0.352069958341046"
"87","Grafentree","8","horizontalnodesecology","0.598","0.566","0.352069958341046"
"88","Grafentree","8","horizontalneighbor","0.726","0.624","0.352069958341046"
"89","Grafentree","9","full","0.086","0.001","1.10498234455814"
"90","Grafentree","9","threequarter","0.172","0.006","1.10498234455814"
"91","Grafentree","9","half","0.232","0.03","1.10498234455814"
"92","Grafentree","9","positiveloss","0.094","0.001","1.10498234455814"
"93","Grafentree","9","ecologyloss","0.092","0.002","1.10498234455814"
"94","Grafentree","9","horizontal10","0.106","0.006","1.10498234455814"
"95","Grafentree","9","horizontal10clade","0.09","0.001","1.10498234455814"
"96","Grafentree","9","horizontal10ecology","0.108","0.002","1.10498234455814"
"97","Grafentree","9","horizontalnodes","0.104","0.001","1.10498234455814"
"98","Grafentree","9","horizontalnodesecology","0.122","0.001","1.10498234455814"
"99","Grafentree","9","horizontalneighbor","0.234","0.01","1.10498234455814"
"100","Grafentree","10","full","0.17","0.18","0.756351417066343"
"101","Grafentree","10","threequarter","0.234","0.322","0.756351417066343"
"102","Grafentree","10","half","0.426","0.438","0.756351417066343"
"103","Grafentree","10","positiveloss","0.202","0.264","0.756351417066343"
"104","Grafentree","10","ecologyloss","0.2","0.186","0.756351417066343"
"105","Grafentree","10","horizontal10","0.25","0.268","0.756351417066343"
"106","Grafentree","10","horizontal10clade","0.234","0.196","0.756351417066343"
"107","Grafentree","10","horizontal10ecology","0.182","0.172","0.756351417066343"
"108","Grafentree","10","horizontalnodes","0.16","0.16","0.756351417066343"
