"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait"
"74","PamaNyungantree","7","horizontal10ecology","0.001","0.416","6524.86703246916"
"75","PamaNyungantree","7","horizontalnodes","0.001","0.78","6524.86703246916"
"76","PamaNyungantree","7","horizontalnodesecology","0.001","0.994","6524.86703246916"
"77","PamaNyungantree","7","horizontalneighbor","0.002","0.89","6524.86703246916"
"78","PamaNyungantree","8","full","0.056","0.001","5075.56682014223"
"79","PamaNyungantree","8","threequarter","0.152","0.001","5075.56682014223"
"80","PamaNyungantree","8","half","0.282","0.002","5075.56682014223"
"81","PamaNyungantree","8","positiveloss","0.084","0.001","5075.56682014223"
"82","PamaNyungantree","8","ecologyloss",NA,"0.001","5075.56682014223"
"83","PamaNyungantree","8","horizontal10","0.028","0.001","5075.56682014223"
"84","PamaNyungantree","8","horizontal10clade","0.082","0.001","5075.56682014223"
"85","PamaNyungantree","8","horizontal10ecology","0.072","0.001","5075.56682014223"
"86","PamaNyungantree","8","horizontalnodes","0.004","0.001","5075.56682014223"
"87","PamaNyungantree","8","horizontalnodesecology","0.056","0.001","5075.56682014223"
"88","PamaNyungantree","8","horizontalneighbor","0.228","0.001","5075.56682014223"
"89","PamaNyungantree","9","full","0.69","0.058","3641.50971073062"
"90","PamaNyungantree","9","threequarter","0.938","0.31","3641.50971073062"
"91","PamaNyungantree","9","half","0.494","0.012","3641.50971073062"
"92","PamaNyungantree","9","positiveloss","0.64","0.072","3641.50971073062"
"93","PamaNyungantree","9","ecologyloss",NA,"0.088","3641.50971073062"
"94","PamaNyungantree","9","horizontal10","0.976","0.11","3641.50971073062"
"95","PamaNyungantree","9","horizontal10clade","0.872","0.006","3641.50971073062"
"96","PamaNyungantree","9","horizontal10ecology","0.666","0.138","3641.50971073062"
"97","PamaNyungantree","9","horizontalnodes","0.684","0.074","3641.50971073062"
"98","PamaNyungantree","9","horizontalnodesecology","0.792","0.094","3641.50971073062"
"99","PamaNyungantree","9","horizontalneighbor","0.684","0.088","3641.50971073062"
"100","PamaNyungantree","10","full","0.001","0.024","4104.43219010657"
"101","PamaNyungantree","10","threequarter","0.001","0.001","4104.43219010657"
"102","PamaNyungantree","10","half","0.03","0.034","4104.43219010657"
"103","PamaNyungantree","10","positiveloss","0.001","0.014","4104.43219010657"
"104","PamaNyungantree","10","ecologyloss",NA,"0.226","4104.43219010657"
"105","PamaNyungantree","10","horizontal10","0.016","0.024","4104.43219010657"
"106","PamaNyungantree","10","horizontal10clade","0.001","0.006","4104.43219010657"
"107","PamaNyungantree","10","horizontal10ecology","0.002","0.114","4104.43219010657"
