"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait"
"388","Latetree","6","half","0.51","0.002","0.832486205796015"
"389","Latetree","6","positiveloss","0.2","0.001","0.832486205796015"
"390","Latetree","6","ecologyloss",NA,"0.002","0.832486205796015"
"391","Latetree","6","horizontal10","0.286","0.001","0.832486205796015"
"392","Latetree","6","horizontal10clade","0.206","0.001","0.832486205796015"
"393","Latetree","6","horizontal10ecology","0.214","0.001","0.832486205796015"
"394","Latetree","6","horizontalnodes","0.24","0.001","0.832486205796015"
"395","Latetree","6","horizontalnodesecology","0.186","0.001","0.832486205796015"
"396","Latetree","6","horizontalneighbor","0.422","0.001","0.832486205796015"
"397","Latetree","7","full","0.26","0.162","0.429292525490766"
"398","Latetree","7","threequarter","0.252","0.254","0.429292525490766"
"399","Latetree","7","half","0.326","0.2","0.429292525490766"
"400","Latetree","7","positiveloss","0.264","0.1","0.429292525490766"
"401","Latetree","7","ecologyloss",NA,"0.556","0.429292525490766"
"402","Latetree","7","horizontal10","0.33","0.152","0.429292525490766"
"403","Latetree","7","horizontal10clade","0.24","0.128","0.429292525490766"
"404","Latetree","7","horizontal10ecology","0.304","0.164","0.429292525490766"
"405","Latetree","7","horizontalnodes","0.256","0.15","0.429292525490766"
"406","Latetree","7","horizontalnodesecology","0.246","0.148","0.429292525490766"
"407","Latetree","7","horizontalneighbor","0.34","0.22","0.429292525490766"
"408","Latetree","8","full","0.31","0.186","0.477695896699732"
"409","Latetree","8","threequarter","0.454","0.362","0.477695896699732"
"410","Latetree","8","half","0.578","0.364","0.477695896699732"
"411","Latetree","8","positiveloss","0.706","0.242","0.477695896699732"
"412","Latetree","8","ecologyloss",NA,"0.496","0.477695896699732"
"413","Latetree","8","horizontal10","0.37","0.226","0.477695896699732"
"414","Latetree","8","horizontal10clade","0.274","0.118","0.477695896699732"
"415","Latetree","8","horizontal10ecology","0.388","0.162","0.477695896699732"
"416","Latetree","8","horizontalnodes","0.318","0.128","0.477695896699732"
"417","Latetree","8","horizontalnodesecology","0.34","0.174","0.477695896699732"
"418","Latetree","8","horizontalneighbor","0.496","0.2","0.477695896699732"
"419","Latetree","9","full","0.114","0.0620000000000001","0.68253374901478"
"420","Latetree","9","threequarter","0.468","0.312","0.68253374901478"
"421","Latetree","9","half","0.24","0.214","0.68253374901478"
"422","Latetree","9","positiveloss","0.0980000000000001","0.05","0.68253374901478"
"423","Latetree","9","ecologyloss",NA,"0.278","0.68253374901478"
"424","Latetree","9","horizontal10","0.162","0.0980000000000001","0.68253374901478"
"425","Latetree","9","horizontal10clade","0.126","0.032","0.68253374901478"
"426","Latetree","9","horizontal10ecology","0.158","0.112","0.68253374901478"
"427","Latetree","9","horizontalnodes","0.14","0.0620000000000001","0.68253374901478"
"428","Latetree","9","horizontalnodesecology","0.0880000000000001","0.0600000000000001","0.68253374901478"
"429","Latetree","9","horizontalneighbor","0.132","0.0880000000000001","0.68253374901478"
"430","Latetree","10","full","0.724","0.672","0.5655009410822"
"431","Latetree","10","threequarter","0.936","0.658","0.5655009410822"
"432","Latetree","10","half","0.872","0.768","0.5655009410822"
"433","Latetree","10","positiveloss","0.71","0.714","0.5655009410822"
"434","Latetree","10","ecologyloss",NA,"0.634","0.5655009410822"
"435","Latetree","10","horizontal10","0.716","0.672","0.5655009410822"
"436","Latetree","10","horizontal10clade","0.69","0.76","0.5655009410822"
"437","Latetree","10","horizontal10ecology","0.828","0.812","0.5655009410822"
"438","Latetree","10","horizontalnodes","0.768","0.72","0.5655009410822"
"439","Latetree","10","horizontalnodesecology","0.784","0.75","0.5655009410822"
"440","Latetree","10","horizontalneighbor","0.924","0.826","0.5655009410822"
"441",NA,NA,NA,NA,NA,NA
