"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait","pvalue_trend"
"67","PamaNyungantree","7","full","0.024","0.004","0.696373277728332","1"
"68","PamaNyungantree","7","threequarter","0.0820000000000001","0.036","0.696373277728332","0"
"69","PamaNyungantree","7","half","0.102","0.028","0.696373277728332","0"
"70","PamaNyungantree","7","positiveloss","0.032","0.00600000000000001","0.696373277728332","0"
"71","PamaNyungantree","7","ecologyloss",NA,"0.042","0.696373277728332","0"
"72","PamaNyungantree","7","horizontal10","0.034","0.001","0.696373277728332","0"
"73","PamaNyungantree","7","horizontal10clade","0.018","0.001","0.696373277728332","0"
"74","PamaNyungantree","7","horizontal10ecology","0.016","0.002","0.696373277728332","0"
"75","PamaNyungantree","7","horizontalnodes","0.128","0.52","0.696373277728332","0"
"76","PamaNyungantree","7","horizontalnodesecology","0.052","0.802","0.696373277728332","0"
"77","PamaNyungantree","7","horizontalneighbor","0.0600000000000001","0.004","0.696373277728332","0"
"78","PamaNyungantree","8","full","0.39","0.278","0.484124375590569","1"
"79","PamaNyungantree","8","threequarter","0.438","0.446","0.484124375590569","0"
"80","PamaNyungantree","8","half","0.454","0.542","0.484124375590569","0.883596240995496"
"81","PamaNyungantree","8","positiveloss","0.318","0.368","0.484124375590569","0.999999999999969"
"82","PamaNyungantree","8","ecologyloss",NA,"0.296","0.484124375590569","0.947626588345855"
"83","PamaNyungantree","8","horizontal10","0.534","0.266","0.484124375590569","0"
"84","PamaNyungantree","8","horizontal10clade","0.452","0.226","0.484124375590569","0.843631416869792"
"85","PamaNyungantree","8","horizontal10ecology","0.436","0.372","0.484124375590569","0"
"86","PamaNyungantree","8","horizontalnodes","0.854","0.452","0.484124375590569","0"
"87","PamaNyungantree","8","horizontalnodesecology","0.522","0.328","0.484124375590569","0"
"88","PamaNyungantree","8","horizontalneighbor","0.558","0.276","0.484124375590569","0"
"89","PamaNyungantree","9","full","0.326","0.94","0.662324883370934","1"
"90","PamaNyungantree","9","threequarter","0.456","0.99","0.662324883370934","0"
"91","PamaNyungantree","9","half","0.596","0.772","0.662324883370934","0"
"92","PamaNyungantree","9","positiveloss","0.48","0.876","0.662324883370934","0"
"93","PamaNyungantree","9","ecologyloss",NA,"0.472","0.662324883370934","0"
"94","PamaNyungantree","9","horizontal10","0.374","0.934","0.662324883370934","0"
"95","PamaNyungantree","9","horizontal10clade","0.316","0.874","0.662324883370934","0"
"96","PamaNyungantree","9","horizontal10ecology","0.292","0.94","0.662324883370934","0"
"97","PamaNyungantree","9","horizontalnodes","0.896","0.436","0.662324883370934","0"
"98","PamaNyungantree","9","horizontalnodesecology","0.106","0.352","0.662324883370934","0"
"99","PamaNyungantree","9","horizontalneighbor","0.484","0.892","0.662324883370934","0"
"100","PamaNyungantree","10","full","0.146","0.001","1.42204119794668","1"
"101","PamaNyungantree","10","threequarter","0.302","0.001","1.42204119794668","0"
"102","PamaNyungantree","10","half","0.306","0.001","1.42204119794668","0"
"103","PamaNyungantree","10","positiveloss","0.17","0.001","1.42204119794668","0.999999977834234"
"104","PamaNyungantree","10","ecologyloss",NA,"0.001","1.42204119794668","0"
"105","PamaNyungantree","10","horizontal10","0.21","0.001","1.42204119794668","0"
"106","PamaNyungantree","10","horizontal10clade","0.198","0.001","1.42204119794668","1"
"107","PamaNyungantree","10","horizontal10ecology","0.114","0.001","1.42204119794668","0"
"108","PamaNyungantree","10","horizontalnodes","0.14","0.0640000000000001","1.42204119794668","0"
"109","PamaNyungantree","10","horizontalnodesecology","0.5","0.004","1.42204119794668","0"
"110","PamaNyungantree","10","horizontalneighbor","0.4","0.001","1.42204119794668","0"
"111","Grafentree","1","full","0.354","0.002","0.499409257518345","1"
"112","Grafentree","1","threequarter","0.578","0.0660000000000001","0.499409257518345","0.999999999997747"
"113","Grafentree","1","half","0.486","0.034","0.499409257518345","0.999999999999665"
"114","Grafentree","1","positiveloss","0.54","0.018","0.499409257518345","1"
"115","Grafentree","1","ecologyloss",NA,"0.018","0.499409257518345","0.999999999974946"
"116","Grafentree","1","horizontal10","0.526","0.00600000000000001","0.499409257518345","0"
"117","Grafentree","1","horizontal10clade","0.364","0.002","0.499409257518345","0"
"118","Grafentree","1","horizontal10ecology","0.366","0.004","0.499409257518345","0"
"119","Grafentree","1","horizontalnodes","0.39","0.001","0.499409257518345","1"
"120","Grafentree","1","horizontalnodesecology","0.418","0.002","0.499409257518345","1"
"121","Grafentree","1","horizontalneighbor","0.468","0.018","0.499409257518345","0"
"122","Grafentree","2","full","0.992","0.03","0.437749371080166","1"
"123","Grafentree","2","threequarter","0.988","0.092","0.437749371080166","0.99999999665128"
"124","Grafentree","2","half","0.996","0.108","0.437749371080166","0.999999999999803"
"125","Grafentree","2","positiveloss","0.906","0.07","0.437749371080166","0.999999999999989"
"126","Grafentree","2","ecologyloss",NA,"0.1","0.437749371080166","0.999999999344166"
"127","Grafentree","2","horizontal10","0.812","0.02","0.437749371080166","0"
"128","Grafentree","2","horizontal10clade","0.962","0.018","0.437749371080166","0"
"129","Grafentree","2","horizontal10ecology","0.968","0.04","0.437749371080166","0"
"130","Grafentree","2","horizontalnodes","0.93","0.012","0.437749371080166","1"
"131","Grafentree","2","horizontalnodesecology","0.924","0.026","0.437749371080166","1"
"132","Grafentree","2","horizontalneighbor","0.928","0.046","0.437749371080166","0"
"133","Grafentree","3","full","0.846","0.006","0.503137212679247","1"
"134","Grafentree","3","threequarter","0.746","0.08","0.503137212679247","0.999999999548583"
"135","Grafentree","3","half","0.88","0.066","0.503137212679247","0.999999999999998"
"136","Grafentree","3","positiveloss","0.692","0.042","0.503137212679247","0.999999999999998"
"137","Grafentree","3","ecologyloss",NA,"0.05","0.503137212679247","0.999999999781398"
"138","Grafentree","3","horizontal10","0.842","0.008","0.503137212679247","0"
"139","Grafentree","3","horizontal10clade","0.796","0.008","0.503137212679247","0.994277539266234"
"140","Grafentree","3","horizontal10ecology","0.848","0.002","0.503137212679247","0"
"141","Grafentree","3","horizontalnodes","0.84","0.004","0.503137212679247","1"
"142","Grafentree","3","horizontalnodesecology","0.706","0.006","0.503137212679247","1"
"143","Grafentree","3","horizontalneighbor","0.774","0.012","0.503137212679247","0"
"144","Grafentree","4","full","0.208","0.001","0.756307424091658","1"
"145","Grafentree","4","threequarter","0.472","0.00600000000000001","0.756307424091658","0.999999999933251"
"146","Grafentree","4","half","0.352","0.00600000000000001","0.756307424091658","0.999999999999932"
"147","Grafentree","4","positiveloss","0.264","0.001","0.756307424091658","1"
"148","Grafentree","4","ecologyloss",NA,"0.002","0.756307424091658","0.999999999999259"
"149","Grafentree","4","horizontal10","0.282","0.001","0.756307424091658","0"
"150","Grafentree","4","horizontal10clade","0.17","0.001","0.756307424091658","0.999999993392953"
"151","Grafentree","4","horizontal10ecology","0.188","0.001","0.756307424091658","0"
"152","Grafentree","4","horizontalnodes","0.154","0.001","0.756307424091658","1"
"153","Grafentree","4","horizontalnodesecology","0.154","0.001","0.756307424091658","1"
"154","Grafentree","4","horizontalneighbor","0.256","0.001","0.756307424091658","0"
"155","Grafentree","5","full","0.738","0.001","0.875109491487486","1"
"156","Grafentree","5","threequarter","0.992","0.008","0.875109491487486","0.999999999998931"
"157","Grafentree","5","half","0.972","0.001","0.875109491487486","0.999999999984498"
"158","Grafentree","5","positiveloss","0.622","0.001","0.875109491487486","0.999999999999994"
"159","Grafentree","5","ecologyloss",NA,"0.002","0.875109491487486","0.999999999944402"
"160","Grafentree","5","horizontal10","0.806","0.001","0.875109491487486","0"
"161","Grafentree","5","horizontal10clade","0.674","0.001","0.875109491487486","0"
"162","Grafentree","5","horizontal10ecology","0.734","0.001","0.875109491487486","0"
