"","Tree","Repetition","Sample","pvalue_ecology","pvalue_alternative","pvalue_clade","variance_trait","median_Ecology1","median_Ecology2","median_Alternative1","median_Alternative2","median_CladeA","median_OtherClades","predictor_variable"
"1","PamaNyungantree","1","full","0.001","0.001","0.001","5.39215616965734","3.30170313191206","2.59044134977407","0.466659030452645","2.70705555295726","3.24234254304606","-1.75224124860301","simmapattemptCladeA"
"2","PamaNyungantree","1","quarterloss","0.178","0.001","0.001","5.39215616965734","3.30350007728848","2.65137418312155","2.77986402535024","2.73244869232377","3.30148182183889","-1.75606478188988","simmapattemptCladeA"
"3","PamaNyungantree","1","halfloss","0.0800000000000001","0.001","0.001","5.39215616965734","3.3033894222519","2.47166352231388","0.466659030452645","2.66127592463167","3.23864787128371","-1.73984050344577","simmapattemptCladeA"
"4","PamaNyungantree","1","positiveloss","0.004","0.001","0.001","5.39215616965734","3.30159247687547","2.36690027321546","-1.53198036916901","2.68563099766249","3.22945440294435","-1.75224124860301","simmapattemptCladeA"
"5","PamaNyungantree","1","ecologyloss",NA,"0.001","0.001","5.39215616965734",NA,"2.66230937268574","-1.51978513946944","2.74001983670191","3.29070957327205","-1.77880834951711","simmapattemptCladeA"
"6","PamaNyungantree","1","horizontal10","0.002","0.001","0.001","5.39215616965734","3.30170313191206","2.62680758246398","2.53375882517839","2.73244869232377","3.24234254304606","-1.74097377863672","simmapattemptCladeA"
"7","PamaNyungantree","1","horizontal10clade","0.002","0.001","0.001","5.39215616965734","3.30170313191206","2.59044134977407","0.466659030452645","2.70705555295726","3.24234254304606","-1.7402525224644","simmapattemptCladeA"
"8","PamaNyungantree","1","horizontal10ecology","0.002","0.001","0.001","5.39215616965734","3.30170313191206","2.53812989026522","-1.44413803966464","2.71310680130031","2.85774913523366","-1.74097377863672","simmapattemptCladeA"
"9","PamaNyungantree","1","horizontalnodes","0.004","0.001","0.001","5.39215616965734","3.30170313191206","2.53812989026522","0.311165801503891","2.70705555295726","2.89598941469434","-1.75224124860301","simmapattemptCladeA"
"10","PamaNyungantree","1","horizontalnodesecology","0.001","0.001","0.001","5.39215616965734","3.30170313191206","2.57464765571904","-1.49244098931063","2.70705555295726","3.24234254304606","-1.75224124860301","simmapattemptCladeA"
"11","PamaNyungantree","1","horizontalneighbor","0.016","0.001","0.001","5.39215616965734","3.24234254304606","2.62680758246398","2.63703487369287","2.71310680130031","2.89598941469434","-1.7402525224644","simmapattemptCladeA"
"12","PamaNyungantree","2","full","0.001","0.018","0.001","3.51092932590395","2.87050876694788","2.41645937680892","0.805401220564101","2.50075668431702","2.73082370461031","-1.14108954736114","simmapattemptCladeA"
"13","PamaNyungantree","2","quarterloss","0.148","0.018","0.001","3.51092932590395","2.8366137868039","2.41967215823706","0.824890346731149","2.44822707753217","2.72368209445822","-1.14363844692218","simmapattemptCladeA"
"14","PamaNyungantree","2","halfloss","0.048","0.018","0.001","3.51092932590395","2.89865592773071","2.38713839697486","-0.677052351689527","2.48395184392252","2.71542509651104","-1.14363844692218","simmapattemptCladeA"
"15","PamaNyungantree","2","positiveloss","0.026","0.018","0.001","3.51092932590395","2.87459786895319","2.28013410571099","-0.938697206479406","2.49435766547372","2.75791178802676","-1.14108954736114","simmapattemptCladeA"
"16","PamaNyungantree","2","ecologyloss",NA,"0.018","0.001","3.51092932590395",NA,"2.48395184392252","-0.756410670827801","2.50985024027047","2.70866617777735","-1.14337437507894","simmapattemptCladeA"
"17","PamaNyungantree","2","horizontal10","0.134","0.018","0.001","3.51092932590395","2.82323553821301","2.42123891638194","2.45802136675946","2.48395866122174","2.7196805490427","-1.09216388379837","simmapattemptCladeA"
"18","PamaNyungantree","2","horizontal10clade","0.02","0.018","0.001","3.51092932590395","2.87050876694788","2.41645937680892","0.791775787015149","2.50075668431702","2.73082370461031","-1.12829330785929","simmapattemptCladeA"
"19","PamaNyungantree","2","horizontal10ecology","0.036","0.018","0.001","3.51092932590395","2.87050876694788","2.39830017907314","2.39768855128829","2.50075668431702","2.70883357258368","-1.09001021789717","simmapattemptCladeA"
"20","PamaNyungantree","2","horizontalnodes","0.01","0.018","0.001","3.51092932590395","2.87050876694788","2.41645937680892","0.805401220564101","2.50075668431702","2.73082370461031","-1.14108954736114","simmapattemptCladeA"
"21","PamaNyungantree","2","horizontalnodesecology","0.012","0.018","0.001","3.51092932590395","2.87050876694788","2.39200919525419","-0.720312497282394","2.49435766547372","2.71116964397939","-1.14108954736114","simmapattemptCladeA"
"22","PamaNyungantree","2","horizontalneighbor","0.126","0.018","0.001","3.51092932590395","2.87868697095851","2.38226759869554","2.44631004439544","2.4894478606641","2.70883357258368","-1.12780469759533","simmapattemptCladeA"
"23","PamaNyungantree","3","full","0.004","0.002","0.001","4.44240884339816","3.1214627048586","3.03669340802608","0.878786548053695","3.12026495078569","3.16555594901419","-1.21109410204804","simmapattemptCladeA"
"24","PamaNyungantree","3","quarterloss","0.028","0.002","0.001","4.44240884339816","3.13042023284236","3.05109655871015","0.827546598448461","3.09950327953501","3.14933358888963","-1.20747022853463","simmapattemptCladeA"
"25","PamaNyungantree","3","halfloss","0.018","0.002","0.001","4.44240884339816","3.13042023284236","2.98618762891798","0.878786548053695","3.14029560125542","3.17014044631316","-1.23031900983286","simmapattemptCladeA"
"26","PamaNyungantree","3","positiveloss","0.001","0.002","0.001","4.44240884339816","3.10377088424978","2.92648921561648","-1.02690932392021","3.09906208874638","3.17216762919709","-1.21109410204804","simmapattemptCladeA"
"27","PamaNyungantree","3","ecologyloss",NA,"0.002","0.001","4.44240884339816",NA,"3.0706130630816","-0.975993944547776","3.10614416750425","3.18258879503796","-1.22347562541224","simmapattemptCladeA"
"28","PamaNyungantree","3","horizontal10","0.001","0.002","0.001","4.44240884339816","3.09456252153453","3.03669340802608","-0.844876700118439","3.10987734926694","3.15722726326117","-1.20597771687453","simmapattemptCladeA"
"29","PamaNyungantree","3","horizontal10clade","0.002","0.002","0.001","4.44240884339816","3.1214627048586","3.03669340802608","0.878786548053695","3.12026495078569","3.16555594901419","-1.21109410204804","simmapattemptCladeA"
"30","PamaNyungantree","3","horizontal10ecology","0.034","0.002","0.001","4.44240884339816","3.1214627048586","2.97890183468228","2.80538804573858","3.09542398184258","3.15517128925141","-1.1987311086344","simmapattemptCladeA"
"31","PamaNyungantree","3","horizontalnodes","0.001","0.002","0.001","4.44240884339816","3.1214627048586","3.03669340802608","-1.00061847256429","3.12026495078569","3.16555594901419","-1.21109410204804","simmapattemptCladeA"
"32","PamaNyungantree","3","horizontalnodesecology","0.001","0.002","0.001","4.44240884339816","3.1214627048586","3.01245460654987","0.878786548053695","3.12026495078569","3.16156434101232","-1.21109410204804","simmapattemptCladeA"
"33","PamaNyungantree","3","horizontalneighbor","0.002","0.002","0.001","4.44240884339816","3.09167185764871","3.07127849819865","2.6155200483694","3.12539962903891","3.15517128925141","-1.1987311086344","simmapattemptCladeA"
