"","X","Tree","NumberOfVariantsInModel","RateOfChange","Repetition","Sample","NumberOfVariantsObserved","loglik_drift","loglik_selectiononestate","loglik_pathways","loglik_pathwaystoone","loglik_unconstrained","phylosigLambda","phylosigK","BayestraitsIndependent_CladeA","BayestraitsDependent_CladeA","BayestraitsIndependent_Forest","BayestraitsDependent_Forest","loglik_pathwaysfromone","BayestraitsMultistate_Free","BayestraitsMultistate_Equal","Pathway_impossible","selection_variant","X.1","BT_dependent_CladeA_better","BT_dependent_Forest_better","chisq_BT_CladeAdependent_better","chisq_BT_Forestdependent_better","BT_CladeAdependent_wronglysupported","BT_Forestdependent_wronglysupported"
"907",907,"Earlytree",2,2,1,"horizontal10",2,NA,NA,NA,NA,NA,0.833554565671106,0.950242842188749,-59.011686,-55.416418,-170.578841,-168.895817,NA,NA,NA,NA,NA,907,7.19053599999999,3.36604800000003,0.126155384482947,0.498535996087412,0,0
"908",908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,908,NA,NA,NA,NA,NA,NA
"909",909,"Earlytree",2,2,1,"horizontalEcology10",2,NA,NA,NA,NA,NA,1.037081420648,1.3865153638102,-31.199166,-24.848884,-153.43481,-107.874462,NA,NA,NA,NA,NA,909,12.700564,91.120696,0.0128354639229736,0,1,1
"910",910,"Earlytree",2,2,1,"horizontalNeighbor10",2,NA,NA,NA,NA,NA,0.998094754377928,0.984021688781056,-77.467271,-48.753735,-163.436102,-135.185181,NA,NA,NA,NA,NA,910,57.427072,56.501842,1.00652819412517e-11,1.57369672848517e-11,1,1
"911",911,"Earlytree",2,2,2,"full",2,NA,NA,NA,NA,NA,1.38218726293016,17.9270714312813,-82.577402,NA,-124.472678,-97.805171,NA,NA,NA,NA,"Q_onlyandslowInEcology1",911,NA,53.335014,NA,7.25135507195773e-11,NA,1
"912",912,"Earlytree",2,2,2,"ThreeQuarterSample",2,NA,NA,NA,NA,NA,1.38218726293016,17.9270714312813,-58.004383,-34.58106,-94.254999,-85.88379,NA,NA,NA,NA,NA,912,46.846646,16.742418,1.64128810542508e-09,0.00216883118002509,1,1
"913",913,"Earlytree",2,2,2,"HalfSample",2,NA,NA,NA,NA,NA,1.38218726293016,8.96326945229625,-42.066645,-24.440526,-62.545771,-57.650145,NA,NA,NA,NA,NA,913,35.252238,9.791252,4.12283689854576e-07,0.0440947178670378,1,1
"914",914,"Earlytree",2,2,2,"Rarelost",2,NA,NA,NA,NA,NA,1.38218726293016,12.4419095753124,-145.126877,NA,-113.93273,-150.268799,NA,NA,NA,NA,NA,914,NA,-72.672138,NA,1,NA,0
"915",915,"Earlytree",2,2,2,"Frequentlost",2,NA,NA,NA,NA,NA,1.38218726293016,14.3959860860568,-66.211886,NA,-76.632803,-59.295388,NA,NA,NA,NA,NA,915,NA,34.67483,NA,5.41744422544177e-07,NA,1
"916",916,"Earlytree",2,2,2,"Ecologyloss",2,NA,NA,NA,NA,NA,1.38218726293016,14.0045199993947,-65.369708,NA,-91.189707,-89.414256,NA,NA,NA,NA,NA,916,NA,3.55090200000001,NA,0.470180909981528,NA,0
"917",917,"Earlytree",2,2,2,"horizontal10",2,NA,NA,NA,NA,NA,0.719064229860701,1.32669414180069,-100.624939,-80.162459,-166.533424,-178.312526,NA,NA,NA,NA,NA,917,40.92496,-23.558204,2.78572186429571e-08,1,1,0
"918",918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,918,NA,NA,NA,NA,NA,NA
"919",919,"Earlytree",2,2,2,"horizontalEcology10",2,NA,NA,NA,NA,NA,0.67106109671481,0.837628133854596,-29.656775,-24.735635,-132.496356,-101.596647,NA,NA,NA,NA,NA,919,9.84228,61.799418,0.0431699338350959,1.21402887742761e-12,1,1
"920",920,"Earlytree",2,2,2,"horizontalNeighbor10",2,NA,NA,NA,NA,NA,0.954236729997187,2.62508360524547,-29.131543,-60.787241,-168.024465,NA,NA,NA,NA,NA,NA,920,-63.311396,NA,1,NA,0,NA
"921",921,"Earlytree",2,2,3,"full",2,NA,NA,NA,NA,NA,1.38218726293016,17.6712979849715,-101.77064,NA,-124.739007,-95.290935,NA,NA,NA,NA,"Q_onlyandslowInEcology1",921,NA,58.896144,NA,4.94793095384694e-12,NA,1
"922",922,"Earlytree",2,2,3,"ThreeQuarterSample",2,NA,NA,NA,NA,NA,1.38218726293016,17.6712979849715,-12.736822,-7.730454,-94.680273,-68.572161,NA,NA,NA,NA,NA,922,10.012736,52.216224,0.040213691359701,1.24305454818341e-10,1,1
"923",923,"Earlytree",2,2,3,"HalfSample",2,NA,NA,NA,NA,NA,1.38218726293016,9.9653138342649,-56.542345,-9.45448,-64.648716,-45.425922,NA,NA,NA,NA,NA,923,94.17573,38.445588,0,9.06750485807351e-08,1,1
"924",924,"Earlytree",2,2,3,"Rarelost",2,NA,NA,NA,NA,NA,1.38218726293016,11.1240812357834,-64.768937,-35.427228,-89.308508,-86.461621,NA,NA,NA,NA,NA,924,58.683418,5.69377400000002,5.48405765243842e-12,0.223214351836575,1,0
"925",925,"Earlytree",2,2,3,"Frequentlost",2,NA,NA,NA,NA,NA,1.38218726293016,15.3633978264797,-79.172747,NA,-62.134067,-58.417147,NA,NA,NA,NA,NA,925,NA,7.43384,NA,0.11466230419933,NA,0
"926",926,"Earlytree",2,2,3,"Ecologyloss",2,NA,NA,NA,NA,NA,1.38218726293016,15.3079246352218,-96.107245,NA,-92.422528,-75.114499,NA,NA,NA,NA,NA,926,NA,34.616058,NA,5.57006296308948e-07,NA,1
"927",927,"Earlytree",2,2,3,"horizontal10",2,NA,NA,NA,NA,NA,0.79173140195367,1.94549230579118,-102.884838,NA,-152.748225,-124.078909,NA,NA,NA,NA,NA,927,NA,57.338632,NA,1.05047082143983e-11,NA,1
"928",928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,928,NA,NA,NA,NA,NA,NA
"929",929,"Earlytree",2,2,3,"horizontalEcology10",2,NA,NA,NA,NA,NA,0.896488502613469,2.55684561696112,-95.716185,NA,-140.106778,-96.389375,NA,NA,NA,NA,NA,929,NA,87.434806,NA,0,NA,1
"930",930,"Earlytree",2,2,3,"horizontalNeighbor10",2,NA,NA,NA,NA,NA,0.640315778703181,1.33669756508972,-157.369026,NA,-160.258513,-132.453652,NA,NA,NA,NA,NA,930,NA,55.609722,NA,2.4208524074254e-11,NA,1
"931",931,"Earlytree",2,2,4,"full",2,NA,NA,NA,NA,NA,1.26982209439444,2.0543534880367,-79.215166,NA,-146.754231,-123.745964,NA,NA,NA,NA,"Q_onlyandslowInEcology1",931,NA,46.016534,NA,2.44341602506637e-09,NA,1
"932",932,"Earlytree",2,2,4,"ThreeQuarterSample",2,NA,NA,NA,NA,NA,1.26982209439444,2.0543534880367,-58.062207,-39.335425,-111.131355,-114.951408,NA,NA,NA,NA,NA,932,37.453564,-7.640106,1.45250674821185e-07,1,1,0
"933",933,"Earlytree",2,2,4,"HalfSample",2,NA,NA,NA,NA,NA,1.38218726293016,1.87977321938671,-23.778405,-19.047227,-67.987381,-65.195542,NA,NA,NA,NA,NA,933,9.462356,5.58367799999999,0.0505265213272029,0.232471446019897,0,0
"934",934,"Earlytree",2,2,4,"Rarelost",2,NA,NA,NA,NA,NA,1.25752464302808,1.63057105366107,-135.634605,NA,-116.949526,-136.30361,NA,NA,NA,NA,NA,934,NA,-38.708168,NA,1,NA,0
"935",935,"Earlytree",2,2,4,"Frequentlost",2,NA,NA,NA,NA,NA,1.38218726293016,1.98218308705308,-62.245391,-24.428812,-79.209555,-122.228123,NA,NA,NA,NA,NA,935,75.633158,-86.037136,1.4432899320127e-15,1,1,0
"936",936,"Earlytree",2,2,4,"Ecologyloss",2,NA,NA,NA,NA,NA,1.38218726293016,2.0917211739405,-63.366415,-22.796353,-127.005514,-139.92669,NA,NA,NA,NA,NA,936,81.140124,-25.842352,1.11022302462516e-16,1,1,0
"937",937,"Earlytree",2,2,4,"horizontal10",2,NA,NA,NA,NA,NA,0.896376007588717,0.862749135897452,-95.716185,-81.634802,-181.163249,-207.281884,NA,NA,NA,NA,NA,937,28.162766,-52.23727,1.15604365596989e-05,1,1,0
"938",938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,938,NA,NA,NA,NA,NA,NA
"939",939,"Earlytree",2,2,4,"horizontalEcology10",2,NA,NA,NA,NA,NA,1.18041191304985,1.22512173525476,-52.232133,-26.632688,-116.340561,-134.055407,NA,NA,NA,NA,NA,939,51.19889,-35.429692,2.02849959052287e-10,1,1,0
"940",940,"Earlytree",2,2,4,"horizontalNeighbor10",2,NA,NA,NA,NA,NA,1.0203891754976,1.10601229802512,-156.917178,NA,-133.686573,-155.79639,NA,NA,NA,NA,NA,940,NA,-44.219634,NA,1,NA,0
"941",941,"Earlytree",2,2,5,"full",2,NA,NA,NA,NA,NA,1.38218726293016,2.07999368966872,-71.934015,-26.109785,-143.745256,-114.089139,NA,NA,NA,NA,"Q_onlyandslowInEcology1",941,91.64846,59.312234,0,4.04598576864146e-12,1,1
"942",942,"Earlytree",2,2,5,"ThreeQuarterSample",2,NA,NA,NA,NA,NA,1.38218726293016,2.07999368966872,-28.169914,-22.815681,-110.128828,-128.764501,NA,NA,NA,NA,NA,942,10.708466,-37.271346,0.0300434144525826,1,1,0
"943",943,"Earlytree",2,2,5,"HalfSample",2,NA,NA,NA,NA,NA,1.38218726293016,1.43251651087835,-34.431943,-17.741341,-73.108629,-66.284878,NA,NA,NA,NA,NA,943,33.381204,13.647502,9.97944212155488e-07,0.00850937405694752,1,1
"944",944,"Earlytree",2,2,5,"Rarelost",2,NA,NA,NA,NA,NA,1.38218726293016,1.22878237301644,-40.580138,-27.68729,-106.805475,-104.490799,NA,NA,NA,NA,NA,944,25.785696,4.62935200000001,3.49541335932235e-05,0.327483987348226,1,0
"945",945,"Earlytree",2,2,5,"Frequentlost",2,NA,NA,NA,NA,NA,1.38218726293016,2.01907938549209,-83.795466,NA,-83.81769,-68.755827,NA,NA,NA,NA,NA,945,NA,30.123726,NA,4.61861678113795e-06,NA,1
"946",946,"Earlytree",2,2,5,"Ecologyloss",2,NA,NA,NA,NA,NA,1.38218726293016,1.9338473073823,-27.469317,-23.058557,-94.224993,-80.327338,NA,NA,NA,NA,NA,946,8.82152,27.79531,0.0657187874375231,1.37228095081765e-05,0,1
"947",947,"Earlytree",2,2,5,"horizontal10",2,NA,NA,NA,NA,NA,0.782107889412706,0.758416234965743,-95.716185,-69.539365,-185.366528,-159.199474,NA,NA,NA,NA,NA,947,52.35364,52.334108,1.16345599820988e-10,1.1744527572688e-10,1,1
"948",948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,948,NA,NA,NA,NA,NA,NA
"949",949,"Earlytree",2,2,5,"horizontalEcology10",2,NA,NA,NA,NA,NA,1.21430386716399,1.32189031186592,-65.930888,-29.609558,-148.615938,-110.39055,NA,NA,NA,NA,NA,949,72.64266,76.450776,6.32827124036339e-15,9.99200722162641e-16,1,1
"950",950,"Earlytree",2,2,5,"horizontalNeighbor10",2,NA,NA,NA,NA,NA,1.16552520002028,0.914546739454742,-158.22634,NA,-134.995735,-172.931211,NA,NA,NA,NA,NA,950,NA,-75.870952,NA,1,NA,0
"951",951,"Earlytree",2,2,6,"full",2,NA,NA,NA,NA,NA,1.38218726293016,10.0739990188786,-18.7091,-51.347194,-178.504738,-130.219542,NA,NA,NA,NA,"Q_onlyandslowInEcology1",951,-65.276188,96.570392,1,0,0,1
"952",952,"Earlytree",2,2,6,"ThreeQuarterSample",2,NA,NA,NA,NA,NA,1.38218726293016,10.0739990188786,-69.363733,-40.106392,-99.036666,-111.60799,NA,NA,NA,NA,NA,952,58.514682,-25.142648,5.95012927817606e-12,1,1,0
"953",953,"Earlytree",2,2,6,"HalfSample",2,NA,NA,NA,NA,NA,1.38218726293016,6.42940375842933,-48.367143,-46.715829,-61.320826,-64.342121,NA,NA,NA,NA,NA,953,3.302628,-6.04259000000002,0.508515982231099,1,0,0
"954",954,"Earlytree",2,2,6,"Rarelost",2,NA,NA,NA,NA,NA,1.38218726293016,9.21325913541765,-71.88878,NA,-96.584285,-94.896631,NA,NA,NA,NA,NA,954,NA,3.37530799999999,NA,0.497089441717654,NA,0
"955",955,"Earlytree",2,2,6,"Frequentlost",2,NA,NA,NA,NA,NA,1.38218726293016,7.59984138244675,-71.061481,-34.550201,-78.850346,-64.83682,NA,NA,NA,NA,NA,955,73.02256,28.027052,5.21804821573824e-15,1.23164539270748e-05,1,1
"956",956,"Earlytree",2,2,6,"Ecologyloss",2,NA,NA,NA,NA,NA,1.38218726293016,7.10712681324665,NA,-119.135073,-82.599677,-67.369869,NA,NA,NA,NA,NA,956,NA,30.459616,NA,3.94540696813106e-06,NA,1
